campaign_id,goal,country,currency,launched_date,deadline_date,category,subcategory,campaign_duration_days,launch_year,launch_month,launch_weekday,success
41,2000.0,US,USD,2014-09-05,2014-10-05,film & video,television,30,2014,9,Friday,1
42,14000.0,US,USD,2014-11-28,2014-12-28,film & video,television,30,2014,11,Friday,1
43,10000.0,US,USD,2014-06-12,2014-07-13,film & video,television,31,2014,6,Thursday,1
44,2000.0,US,USD,2014-08-23,2014-10-07,film & video,television,45,2014,8,Saturday,1
45,5000.0,US,USD,2016-03-28,2016-04-27,film & video,television,30,2016,3,Monday,1
46,8400.0,AU,AUD,2015-11-15,2015-12-15,film & video,television,30,2015,11,Sunday,1
47,5000.0,US,USD,2014-10-20,2014-12-19,film & video,television,60,2014,10,Monday,1
48,2000.0,GB,GBP,2015-01-29,2015-03-01,film & video,television,31,2015,1,Thursday,1
49,12000.0,US,USD,2015-09-24,2015-10-24,film & video,television,30,2015,9,Thursday,1
50,600.0,GB,GBP,2014-12-22,2015-01-30,film & video,television,39,2014,12,Monday,1
51,11000.0,US,USD,2015-07-11,2015-08-10,film & video,television,30,2015,7,Saturday,1
52,10000.0,US,USD,2014-06-17,2014-07-17,film & video,television,30,2014,6,Tuesday,1
53,3000.0,US,USD,2014-03-21,2014-04-04,film & video,television,14,2014,3,Friday,1
54,10000.0,US,USD,2015-11-25,2015-12-25,film & video,television,30,2015,11,Wednesday,1
55,8600.0,US,USD,2016-05-06,2016-05-27,film & video,television,21,2016,5,Friday,1
56,8000.0,GB,GBP,2015-05-25,2015-06-08,film & video,television,14,2015,5,Monday,1
57,15000.0,US,USD,2015-03-26,2015-04-25,film & video,television,30,2015,3,Thursday,1
58,10000.0,US,USD,2014-10-20,2014-11-19,film & video,television,30,2014,10,Monday,1
59,20000.0,US,USD,2015-08-14,2015-09-14,film & video,television,31,2015,8,Friday,1
60,4500.0,GB,GBP,2014-03-03,2014-03-23,film & video,shorts,20,2014,3,Monday,1
61,5000.0,US,USD,2013-05-15,2013-06-06,film & video,shorts,22,2013,5,Wednesday,1
62,3000.0,US,USD,2013-02-06,2013-03-03,film & video,shorts,25,2013,2,Wednesday,1
63,2000.0,US,USD,2013-12-04,2013-12-28,film & video,shorts,24,2013,12,Wednesday,1
64,1200.0,US,USD,2013-06-08,2013-07-08,film & video,shorts,30,2013,6,Saturday,1
65,7000.0,CA,CAD,2014-07-15,2014-08-11,film & video,shorts,27,2014,7,Tuesday,1
66,2000.0,US,USD,2016-06-18,2016-07-18,film & video,shorts,30,2016,6,Saturday,1
67,2000.0,US,USD,2012-06-15,2012-07-15,film & video,shorts,30,2012,6,Friday,1
68,600.0,GB,GBP,2014-01-24,2014-02-23,film & video,shorts,30,2014,1,Friday,1
69,10000.0,US,USD,2011-08-31,2011-10-02,film & video,shorts,32,2011,8,Wednesday,1
70,500.0,US,USD,2011-07-06,2011-09-04,film & video,shorts,60,2011,7,Wednesday,1
71,1800.0,US,USD,2012-03-29,2012-05-28,film & video,shorts,60,2012,3,Thursday,1
72,2200.0,US,USD,2012-10-26,2012-11-15,film & video,shorts,20,2012,10,Friday,1
73,900.0,US,USD,2011-02-13,2011-05-03,film & video,shorts,79,2011,2,Sunday,1
74,500.0,FR,EUR,2015-12-22,2016-01-21,film & video,shorts,30,2015,12,Tuesday,1
75,3500.0,US,USD,2013-03-24,2013-04-23,film & video,shorts,30,2013,3,Sunday,1
76,300.0,US,USD,2011-10-28,2011-12-27,film & video,shorts,60,2011,10,Friday,1
77,400.0,US,USD,2012-03-29,2012-05-21,film & video,shorts,53,2012,3,Thursday,1
78,50.0,FR,EUR,2016-08-22,2016-09-01,film & video,shorts,10,2016,8,Monday,1
79,1300.0,GB,GBP,2014-03-26,2014-04-25,film & video,shorts,30,2014,3,Wednesday,1
80,12000.0,US,USD,2013-11-05,2013-12-10,film & video,shorts,35,2013,11,Tuesday,1
81,750.0,US,USD,2012-07-10,2012-07-14,film & video,shorts,4,2012,7,Tuesday,1
82,4000.0,US,USD,2011-09-09,2011-10-09,film & video,shorts,30,2011,9,Friday,1
83,200.0,GB,GBP,2015-02-07,2015-02-22,film & video,shorts,15,2015,2,Saturday,1
84,500.0,US,USD,2011-04-15,2011-05-15,film & video,shorts,30,2011,4,Friday,1
85,1200.0,US,USD,2011-08-24,2011-09-23,film & video,shorts,30,2011,8,Wednesday,1
86,6000.0,FR,EUR,2015-10-14,2015-12-27,film & video,shorts,74,2015,10,Wednesday,1
87,2500.0,US,USD,2010-05-24,2010-06-03,film & video,shorts,10,2010,5,Monday,1
88,3500.0,US,USD,2014-05-27,2014-06-22,film & video,shorts,26,2014,5,Tuesday,1
89,6000.0,US,USD,2013-05-08,2013-06-02,film & video,shorts,25,2013,5,Wednesday,1
90,500.0,US,USD,2011-06-12,2011-07-12,film & video,shorts,30,2011,6,Sunday,1
91,3000.0,US,USD,2011-03-17,2011-05-17,film & video,shorts,61,2011,3,Thursday,1
92,5000.0,CA,CAD,2016-12-17,2017-02-01,film & video,shorts,46,2016,12,Saturday,1
93,1000.0,US,USD,2012-06-05,2012-07-03,film & video,shorts,28,2012,6,Tuesday,1
94,250.0,GB,GBP,2014-03-18,2014-04-07,film & video,shorts,20,2014,3,Tuesday,1
95,350.0,US,USD,2012-01-27,2012-02-26,film & video,shorts,30,2012,1,Friday,1
96,1500.0,US,USD,2010-05-26,2010-08-01,film & video,shorts,67,2010,5,Wednesday,1
97,400.0,US,USD,2011-06-12,2011-07-12,film & video,shorts,30,2011,6,Sunday,1
98,3200.0,US,USD,2012-11-01,2012-12-07,film & video,shorts,36,2012,11,Thursday,1
99,1500.0,US,USD,2013-12-23,2014-01-22,film & video,shorts,30,2013,12,Monday,1
100,5000.0,US,USD,2012-10-15,2012-11-04,film & video,shorts,20,2012,10,Monday,1
101,3500.0,US,USD,2012-12-31,2013-01-24,film & video,shorts,24,2012,12,Monday,1
102,6000.0,US,USD,2010-11-23,2010-12-23,film & video,shorts,30,2010,11,Tuesday,1
103,1300.0,GB,GBP,2014-02-12,2014-03-07,film & video,shorts,23,2014,2,Wednesday,1
104,500.0,US,USD,2011-03-10,2011-04-03,film & video,shorts,24,2011,3,Thursday,1
105,2200.0,US,USD,2016-04-25,2016-05-14,film & video,shorts,19,2016,4,Monday,1
106,5000.0,US,USD,2012-03-19,2012-04-02,film & video,shorts,14,2012,3,Monday,1
107,7500.0,US,USD,2011-04-02,2011-04-24,film & video,shorts,22,2011,4,Saturday,1
108,1500.0,US,USD,2013-04-01,2013-05-31,film & video,shorts,60,2013,4,Monday,1
109,1000.0,US,USD,2011-01-27,2011-02-26,film & video,shorts,30,2011,1,Thursday,1
110,1300.0,US,USD,2013-10-10,2013-11-14,film & video,shorts,35,2013,10,Thursday,1
111,3500.0,AU,AUD,2015-05-01,2015-05-31,film & video,shorts,30,2015,5,Friday,1
112,5000.0,US,USD,2014-03-20,2014-04-13,film & video,shorts,24,2014,3,Thursday,1
113,5000.0,US,USD,2011-07-29,2011-08-06,film & video,shorts,8,2011,7,Friday,1
114,3000.0,US,USD,2011-11-14,2012-01-13,film & video,shorts,60,2011,11,Monday,1
115,450.0,US,USD,2012-01-10,2012-02-04,film & video,shorts,25,2012,1,Tuesday,1
116,3500.0,US,USD,2011-02-21,2011-04-08,film & video,shorts,46,2011,2,Monday,1
117,4500.0,US,USD,2010-03-11,2010-06-09,film & video,shorts,90,2010,3,Thursday,1
118,5000.0,US,USD,2011-06-29,2011-07-29,film & video,shorts,30,2011,6,Wednesday,1
119,3250.0,US,USD,2011-07-15,2011-08-13,film & video,shorts,29,2011,7,Friday,1
160,5000.0,US,USD,2015-06-16,2015-08-15,film & video,drama,60,2015,6,Tuesday,0
161,50000.0,US,USD,2014-06-02,2014-07-02,film & video,drama,30,2014,6,Monday,0
162,2800.0,US,USD,2014-07-15,2014-08-16,film & video,drama,32,2014,7,Tuesday,0
163,2000000.0,US,USD,2015-08-27,2015-10-01,film & video,drama,35,2015,8,Thursday,0
164,120000.0,US,USD,2014-07-21,2014-09-19,film & video,drama,60,2014,7,Monday,0
165,17000.0,GB,GBP,2015-12-13,2016-01-12,film & video,drama,30,2015,12,Sunday,0
166,5000.0,US,USD,2016-12-17,2017-01-16,film & video,drama,30,2016,12,Saturday,0
167,110000.0,US,USD,2015-06-05,2015-08-04,film & video,drama,60,2015,6,Friday,0
168,8000.0,US,USD,2015-02-17,2015-03-19,film & video,drama,30,2015,2,Tuesday,0
169,2500.0,GB,GBP,2014-09-18,2014-10-18,film & video,drama,30,2014,9,Thursday,0
170,10000.0,US,USD,2015-07-31,2015-08-30,film & video,drama,30,2015,7,Friday,0
171,50000.0,US,USD,2016-06-13,2016-08-12,film & video,drama,60,2016,6,Monday,0
172,95000.0,US,USD,2015-02-12,2015-03-19,film & video,drama,35,2015,2,Thursday,0
173,1110.0,GB,GBP,2015-01-29,2015-02-28,film & video,drama,30,2015,1,Thursday,0
174,6000.0,NL,EUR,2015-03-09,2015-05-08,film & video,drama,60,2015,3,Monday,0
175,20000.0,GB,GBP,2014-08-04,2014-08-29,film & video,drama,25,2014,8,Monday,0
176,1500.0,US,USD,2015-07-06,2015-08-05,film & video,drama,30,2015,7,Monday,0
177,450.0,US,USD,2015-03-07,2015-03-24,film & video,drama,17,2015,3,Saturday,0
178,500000.0,ES,EUR,2015-10-27,2015-11-26,film & video,drama,30,2015,10,Tuesday,0
179,1000.0,US,USD,2016-02-03,2016-03-04,film & video,drama,30,2016,2,Wednesday,0
180,1200.0,GB,GBP,2015-03-04,2015-04-13,film & video,drama,40,2015,3,Wednesday,0
181,3423.0,GB,GBP,2015-05-23,2015-06-22,film & video,drama,30,2015,5,Saturday,0
182,1000.0,US,USD,2016-12-08,2017-01-07,film & video,drama,30,2016,12,Thursday,0
183,12500.0,GB,GBP,2014-10-27,2014-11-26,film & video,drama,30,2014,10,Monday,0
184,1500.0,CA,CAD,2014-07-05,2014-09-01,film & video,drama,58,2014,7,Saturday,0
185,40000.0,NO,NOK,2016-07-19,2016-08-18,film & video,drama,30,2016,7,Tuesday,0
186,5000.0,US,USD,2017-02-01,2017-03-03,film & video,drama,30,2017,2,Wednesday,0
187,5000.0,US,USD,2015-06-27,2015-07-21,film & video,drama,24,2015,6,Saturday,0
188,1500.0,US,USD,2014-08-06,2014-09-05,film & video,drama,30,2014,8,Wednesday,0
189,500000.0,US,USD,2016-07-05,2016-09-03,film & video,drama,60,2016,7,Tuesday,0
190,12000.0,US,USD,2016-06-06,2016-06-16,film & video,drama,10,2016,6,Monday,0
191,5000.0,AU,AUD,2015-08-23,2015-10-02,film & video,drama,40,2015,8,Sunday,0
192,1000000.0,US,USD,2014-09-17,2014-10-17,film & video,drama,30,2014,9,Wednesday,0
193,1000.0,GB,GBP,2014-09-29,2014-11-28,film & video,drama,60,2014,9,Monday,0
194,2500.0,GB,GBP,2016-01-06,2016-03-06,film & video,drama,60,2016,1,Wednesday,0
195,2000000.0,US,USD,2015-05-11,2015-07-10,film & video,drama,60,2015,5,Monday,0
196,3500.0,GB,GBP,2015-09-12,2015-10-10,film & video,drama,28,2015,9,Saturday,0
197,2500.0,GB,GBP,2017-01-06,2017-02-17,film & video,drama,42,2017,1,Friday,0
198,25000.0,US,USD,2014-09-05,2014-10-05,film & video,drama,30,2014,9,Friday,0
199,10000.0,US,USD,2016-08-02,2016-09-01,film & video,drama,30,2016,8,Tuesday,0
200,6000.0,US,USD,2014-08-16,2014-09-15,film & video,drama,30,2014,8,Saturday,0
201,650.0,US,USD,2015-01-19,2015-02-08,film & video,drama,20,2015,1,Monday,0
202,6000.0,US,USD,2015-09-08,2015-10-08,film & video,drama,30,2015,9,Tuesday,0
203,2500.0,GB,GBP,2014-11-30,2015-01-29,film & video,drama,60,2014,11,Sunday,0
204,300000.0,AU,AUD,2016-07-05,2016-08-04,film & video,drama,30,2016,7,Tuesday,0
205,8000.0,US,USD,2015-09-01,2015-10-06,film & video,drama,35,2015,9,Tuesday,0
206,12700.0,US,USD,2016-07-16,2016-08-06,film & video,drama,21,2016,7,Saturday,0
207,14000.0,CA,CAD,2014-12-05,2015-01-04,film & video,drama,30,2014,12,Friday,0
208,50000.0,AU,AUD,2014-11-16,2014-12-16,film & video,drama,30,2014,11,Sunday,0
209,25000.0,US,USD,2015-06-10,2015-07-10,film & video,drama,30,2015,6,Wednesday,0
210,12000.0,US,USD,2015-09-02,2015-10-01,film & video,drama,29,2015,9,Wednesday,0
211,5000.0,US,USD,2015-08-20,2015-09-19,film & video,drama,30,2015,8,Thursday,0
212,6300.0,US,USD,2016-02-16,2016-04-16,film & video,drama,60,2016,2,Tuesday,0
213,50000.0,US,USD,2015-07-17,2015-08-16,film & video,drama,30,2015,7,Friday,0
214,12500.0,US,USD,2015-01-05,2015-03-06,film & video,drama,60,2015,1,Monday,0
215,4400.0,GB,GBP,2016-01-06,2016-02-17,film & video,drama,42,2016,1,Wednesday,0
216,50000.0,US,USD,2015-03-03,2015-04-22,film & video,drama,50,2015,3,Tuesday,0
217,100000.0,SE,SEK,2014-11-27,2014-12-28,film & video,drama,31,2014,11,Thursday,0
218,5000.0,US,USD,2015-03-16,2015-05-15,film & video,drama,60,2015,3,Monday,0
219,50000.0,US,USD,2016-02-29,2016-04-01,film & video,drama,32,2016,2,Monday,0
220,50000.0,US,USD,2015-07-10,2015-08-20,film & video,drama,41,2015,7,Friday,0
221,50000.0,US,USD,2015-01-27,2015-03-28,film & video,drama,60,2015,1,Tuesday,0
222,1000.0,US,USD,2015-01-27,2015-03-27,film & video,drama,59,2015,1,Tuesday,0
223,1500000.0,US,USD,2016-04-22,2016-05-22,film & video,drama,30,2016,4,Friday,0
224,6000000.0,AU,AUD,2015-05-11,2015-07-10,film & video,drama,60,2015,5,Monday,0
225,200.0,US,USD,2016-03-09,2016-04-08,film & video,drama,30,2016,3,Wednesday,0
226,29000.0,GB,GBP,2015-04-12,2015-05-31,film & video,drama,49,2015,4,Sunday,0
227,28000.0,US,USD,2015-06-09,2015-07-09,film & video,drama,30,2015,6,Tuesday,0
228,8000.0,GB,GBP,2015-04-02,2015-06-01,film & video,drama,60,2015,4,Thursday,0
229,3000.0,DE,EUR,2016-01-14,2016-02-13,film & video,drama,30,2016,1,Thursday,0
230,15000.0,US,USD,2015-05-05,2015-06-04,film & video,drama,30,2015,5,Tuesday,0
231,1500000.0,US,USD,2015-12-03,2016-01-02,film & video,drama,30,2015,12,Thursday,0
232,4000.0,GB,GBP,2015-01-28,2015-02-27,film & video,drama,30,2015,1,Wednesday,0
233,350000.0,US,USD,2016-08-30,2016-09-29,film & video,drama,30,2016,8,Tuesday,0
234,1000.0,US,USD,2015-05-12,2015-06-21,film & video,drama,40,2015,5,Tuesday,0
235,10000.0,US,USD,2015-06-09,2015-07-09,film & video,drama,30,2015,6,Tuesday,0
236,150000.0,US,USD,2015-11-13,2016-01-05,film & video,drama,53,2015,11,Friday,0
237,15000.0,US,USD,2016-01-08,2016-03-08,film & video,drama,60,2016,1,Friday,0
238,26000.0,US,USD,2016-12-09,2016-12-30,film & video,drama,21,2016,12,Friday,0
239,1000.0,AU,AUD,2015-10-20,2015-11-08,film & video,drama,19,2015,10,Tuesday,0
240,15000.0,US,USD,2013-03-21,2013-05-05,film & video,documentary,45,2013,3,Thursday,1
241,36400.0,US,USD,2014-11-06,2014-12-21,film & video,documentary,45,2014,11,Thursday,1
242,13000.0,US,USD,2011-11-15,2011-12-20,film & video,documentary,35,2011,11,Tuesday,1
243,25000.0,US,USD,2014-01-23,2014-02-22,film & video,documentary,30,2014,1,Thursday,1
244,3500.0,US,USD,2010-02-04,2010-03-16,film & video,documentary,40,2010,2,Thursday,1
245,5000.0,US,USD,2012-07-17,2012-08-16,film & video,documentary,30,2012,7,Tuesday,1
246,5000.0,US,USD,2010-10-29,2010-12-18,film & video,documentary,50,2010,10,Friday,1
247,5000.0,US,USD,2010-09-09,2010-10-16,film & video,documentary,37,2010,9,Thursday,1
248,85000.0,US,USD,2011-11-23,2012-01-07,film & video,documentary,45,2011,11,Wednesday,1
249,10000.0,US,USD,2010-06-03,2010-08-22,film & video,documentary,80,2010,6,Thursday,1
250,30000.0,US,USD,2013-05-07,2013-06-06,film & video,documentary,30,2013,5,Tuesday,1
251,3500.0,US,USD,2012-04-14,2012-05-16,film & video,documentary,32,2012,4,Saturday,1
252,5000.0,US,USD,2010-03-29,2010-06-01,film & video,documentary,64,2010,3,Monday,1
253,1500.0,US,USD,2012-01-16,2012-02-15,film & video,documentary,30,2012,1,Monday,1
254,24000.0,US,USD,2015-09-16,2015-10-17,film & video,documentary,31,2015,9,Wednesday,1
255,8000.0,US,USD,2011-02-14,2011-03-16,film & video,documentary,30,2011,2,Monday,1
256,13000.0,US,USD,2013-02-14,2013-03-16,film & video,documentary,30,2013,2,Thursday,1
257,35000.0,US,USD,2016-04-19,2016-05-19,film & video,documentary,30,2016,4,Tuesday,1
258,30000.0,US,USD,2011-05-19,2011-06-18,film & video,documentary,30,2011,5,Thursday,1
259,75000.0,US,USD,2015-03-09,2015-04-08,film & video,documentary,30,2015,3,Monday,1
260,10000.0,US,USD,2010-06-01,2010-07-17,film & video,documentary,46,2010,6,Tuesday,1
261,20000.0,US,USD,2012-04-18,2012-06-07,film & video,documentary,50,2012,4,Wednesday,1
262,2500.0,US,USD,2011-01-12,2011-02-26,film & video,documentary,45,2011,1,Wednesday,1
263,25000.0,US,USD,2012-08-28,2012-09-27,film & video,documentary,30,2012,8,Tuesday,1
264,5000.0,US,USD,2012-04-11,2012-05-11,film & video,documentary,30,2012,4,Wednesday,1
265,5000.0,US,USD,2010-03-30,2010-05-10,film & video,documentary,41,2010,3,Tuesday,1
266,1000.0,US,USD,2010-01-27,2010-04-23,film & video,documentary,86,2010,1,Wednesday,1
267,9850.0,GB,GBP,2014-05-26,2014-06-25,film & video,documentary,30,2014,5,Monday,1
268,5000.0,US,USD,2011-09-23,2011-11-07,film & video,documentary,45,2011,9,Friday,1
269,100000.0,AU,AUD,2017-01-23,2017-02-22,film & video,documentary,30,2017,1,Monday,1
270,2300.0,US,USD,2011-04-04,2011-05-25,film & video,documentary,51,2011,4,Monday,1
271,30000.0,US,USD,2013-12-04,2014-01-02,film & video,documentary,29,2013,12,Wednesday,1
272,3000.0,US,USD,2010-02-26,2010-04-28,film & video,documentary,61,2010,2,Friday,1
273,5000.0,US,USD,2011-06-03,2011-07-03,film & video,documentary,30,2011,6,Friday,1
274,4000.0,US,USD,2012-03-01,2012-04-05,film & video,documentary,35,2012,3,Thursday,1
275,20000.0,US,USD,2012-10-11,2012-11-10,film & video,documentary,30,2012,10,Thursday,1
276,4000.0,US,USD,2012-02-28,2012-04-28,film & video,documentary,60,2012,2,Tuesday,1
277,65000.0,US,USD,2015-04-23,2015-05-23,film & video,documentary,30,2015,4,Thursday,1
278,27000.0,US,USD,2012-09-12,2012-10-12,film & video,documentary,30,2012,9,Wednesday,1
279,17000.0,US,USD,2017-01-24,2017-02-27,film & video,documentary,34,2017,1,Tuesday,1
280,75000.0,US,USD,2014-04-15,2014-05-30,film & video,documentary,45,2014,4,Tuesday,1
281,5500.0,US,USD,2009-05-17,2009-08-10,film & video,documentary,85,2009,5,Sunday,1
282,45000.0,US,USD,2010-01-16,2010-02-22,film & video,documentary,37,2010,1,Saturday,1
283,18000.0,US,USD,2011-05-12,2011-06-01,film & video,documentary,20,2011,5,Thursday,1
284,40000.0,US,USD,2011-12-27,2012-01-21,film & video,documentary,25,2011,12,Tuesday,1
285,14000.0,US,USD,2013-08-20,2013-09-19,film & video,documentary,30,2013,8,Tuesday,1
286,15000.0,US,USD,2013-02-08,2013-03-25,film & video,documentary,45,2013,2,Friday,1
287,15000.0,US,USD,2012-10-02,2012-11-02,film & video,documentary,31,2012,10,Tuesday,1
288,50000.0,US,USD,2012-05-22,2012-06-26,film & video,documentary,35,2012,5,Tuesday,1
289,15000.0,GB,GBP,2013-10-03,2013-11-02,film & video,documentary,30,2013,10,Thursday,1
290,4500.0,US,USD,2010-12-14,2011-02-02,film & video,documentary,50,2010,12,Tuesday,1
291,5000.0,US,USD,2013-04-12,2013-05-01,film & video,documentary,19,2013,4,Friday,1
292,75000.0,US,USD,2011-09-26,2011-10-29,film & video,documentary,33,2011,9,Monday,1
293,26000.0,US,USD,2014-03-21,2014-04-20,film & video,documentary,30,2014,3,Friday,1
294,5000.0,US,USD,2010-06-14,2010-07-19,film & video,documentary,35,2010,6,Monday,1
295,50000.0,US,USD,2013-09-02,2013-11-01,film & video,documentary,60,2013,9,Monday,1
296,25000.0,US,USD,2012-08-13,2012-09-07,film & video,documentary,25,2012,8,Monday,1
297,20000.0,US,USD,2015-03-26,2015-05-01,film & video,documentary,36,2015,3,Thursday,1
298,126000.0,US,USD,2014-03-11,2014-05-09,film & video,documentary,59,2014,3,Tuesday,1
299,10000.0,US,USD,2010-10-18,2010-11-17,film & video,documentary,30,2010,10,Monday,1
300,25000.0,US,USD,2011-03-24,2011-04-24,film & video,documentary,31,2011,3,Thursday,1
301,13000.0,US,USD,2013-02-07,2013-03-19,film & video,documentary,40,2013,2,Thursday,1
302,10000.0,US,USD,2012-01-25,2012-02-24,film & video,documentary,30,2012,1,Wednesday,1
303,3000.0,US,USD,2012-05-03,2012-06-02,film & video,documentary,30,2012,5,Thursday,1
304,3400.0,US,USD,2012-07-24,2012-09-01,film & video,documentary,39,2012,7,Tuesday,1
305,7500.0,US,USD,2012-02-09,2012-03-10,film & video,documentary,30,2012,2,Thursday,1
306,1000.0,US,USD,2013-02-28,2013-03-20,film & video,documentary,20,2013,2,Thursday,1
307,22000.0,US,USD,2013-01-08,2013-02-07,film & video,documentary,30,2013,1,Tuesday,1
308,12000.0,US,USD,2011-01-24,2011-03-10,film & video,documentary,45,2011,1,Monday,1
309,18000.0,US,USD,2012-08-13,2012-09-03,film & video,documentary,21,2012,8,Monday,1
310,1000.0,US,USD,2011-10-05,2011-10-20,film & video,documentary,15,2011,10,Wednesday,1
311,20000.0,US,USD,2011-11-21,2012-01-01,film & video,documentary,41,2011,11,Monday,1
312,8000.0,US,USD,2013-03-15,2013-04-14,film & video,documentary,30,2013,3,Friday,1
313,17000.0,US,USD,2010-06-28,2010-08-11,film & video,documentary,44,2010,6,Monday,1
314,1000.0,US,USD,2013-01-30,2013-03-01,film & video,documentary,30,2013,1,Wednesday,1
315,25000.0,US,USD,2012-07-23,2012-08-22,film & video,documentary,30,2012,7,Monday,1
316,15000.0,CA,CAD,2014-11-07,2014-12-11,film & video,documentary,34,2014,11,Friday,1
317,30000.0,US,USD,2013-11-11,2013-12-11,film & video,documentary,30,2013,11,Monday,1
318,5000.0,US,USD,2013-02-25,2013-03-26,film & video,documentary,29,2013,2,Monday,1
319,5000.0,US,USD,2009-11-06,2010-02-02,film & video,documentary,88,2009,11,Friday,1
320,20000.0,GB,GBP,2015-11-23,2015-12-22,film & video,documentary,29,2015,11,Monday,1
321,35000.0,DE,EUR,2016-10-04,2016-11-08,film & video,documentary,35,2016,10,Tuesday,1
322,25000.0,US,USD,2016-04-13,2016-05-13,film & video,documentary,30,2016,4,Wednesday,1
323,5400.0,US,USD,2016-11-23,2016-12-21,film & video,documentary,28,2016,11,Wednesday,1
324,8500.0,US,USD,2015-06-29,2015-08-01,film & video,documentary,33,2015,6,Monday,1
325,50000.0,US,USD,2016-11-15,2016-12-20,film & video,documentary,35,2016,11,Tuesday,1
326,150000.0,US,USD,2017-02-09,2017-03-14,film & video,documentary,33,2017,2,Thursday,1
327,4000.0,US,USD,2015-02-23,2015-03-22,film & video,documentary,27,2015,2,Monday,1
328,75000.0,US,USD,2015-10-01,2015-11-01,film & video,documentary,31,2015,10,Thursday,1
329,10000.0,US,USD,2015-10-14,2015-11-07,film & video,documentary,24,2015,10,Wednesday,1
330,35000.0,US,USD,2013-04-15,2013-05-17,film & video,documentary,32,2013,4,Monday,1
